director_id,movie_id
7570,B003ZG3GAM
11252,B003ZG3GAM
8348,B003ZG3GAM
33744,B003ZG3GAM
39496,B003ZG3GAM
12244,B003ZG3GAM
37888,B003ZG3GAM
3091,B003ZG3GAM
25939,B003ZG3GAM
28809,B003ZG3GAM
20486,B0078V2LCY
804,B003AI2VGA
37007,B006JIUN2W
18905,B000WI23KA
25341,B00004CQT4
31132,B0071AD95K
1004,B00004CQT3
22419,B007NF02Q2
17323,B000NDFLWG
17089,B000063W1R
27164,B008FPU7AA
29144,B0070225F4
29248,6300157423
9870,B000IZJR3I
20841,B0023S4A12
39629,B0023S4A12
22828,B0001G6PZC
31341,B004XSUBE0
10122,B004ZWHZUC
35159,1888617047
12348,B001GBPZRU
39401,B002OHDRF2
333,B0092MDYV4
12419,B001CCMLR0
3262,6300147967
30467,B00004CQTP
29175,B0050QNO2K
38614,6305508569
39355,6305508569
15371,6305508569
17702,6305508569
4494,B000CDSS86
7032,B000CDSS86
779,B0016OLXN2
18391,B0009Y2LTU
17131,B0000060T0
25849,B0000060T0
11116,B0000060T0
12690,B0000060T0
35191,6301248546
11572,6303257933
35486,B002B900BM
23011,630187837X
30168,B003BUAP10
12475,6304286961
7438,B000063W82
25882,B0036DBMMI
5334,B0001BMMEA
5335,B00005226W
18264,B007EMEOEA
20693,6305949816
20897,B000XEDVEA
6344,B0042AH2I2
29067,B000056PNV
20268,B0099VUXCQ
31390,B00096S43U
23294,B0095D5454
27001,B00022VM5S
10550,B00022VM5S
2147,B00022VM5S
36119,B000UGBOT0
2294,B00022VM5I
8353,B001MBE63I
32926,B0012EM5GK
30663,B0002V7TJC
25930,B0002V7TJC
5302,B000GB5M5Q
5416,B000GB5M5Q
18038,6301173147
5216,B0042800WE
39298,B005G5PNOW
20810,B0002V7TJW
20744,B009B6XA1U
21663,B001I7HLTW
3321,B00062IZGS
13888,B004EPYZQ2
28502,B000I0RVSG
17764,B0030FT96S
22330,B00000IC80
2213,B00000IC80
4384,B00000IC83
5064,B00000IC82
35840,B00000IC82
7801,B00000IC82
32017,B00000IC82
15450,B00000IC82
31740,B00000IC84
15474,B00000IC84
36231,B00000IC84
37333,B004GIZX3Q
23785,B004GIZX3Q
6074,B0048KQQC4
15502,B00000IC89
12288,B00000IC89
12628,6300246299
24473,B0030ZOYW2
34170,B0030ZOYW2
995,B0019RP6KC
25703,B002CWKTZA
6265,B000FVQLQQ
17830,B0007Z9RCU
29847,630403945X
33906,630403945X
32687,B00000IC8E
6921,B00000IC8E
1131,B00000IC8E
18925,B00000IC8E
34251,6304179499
19660,6304179499
38851,6304179499
20794,6304179499
12999,B00000IC8F
37509,B00000IC8F
8987,B008BSM1EG
16120,B000Q7ZNZ4
26194,B001E6JCBC
21997,B00000IC8I
18925,B00000IC8I
9463,B002LSIAQ0
5064,B00000IC8M
35840,B00000IC8M
7801,B00000IC8M
32017,B00000IC8M
15450,B00000IC8M
15352,1573470937
11580,B0051ZIXMQ
9129,B003QWVPT4
16537,B000065FKL
13517,B000065K9R
29871,B000CEXFBU
21386,B009RAF860
4103,B004EPYZQM
35503,B004XSHQRU
13911,B0014567LQ
13374,B000H5U5IK
27002,B000QGE8ME
19610,B000H5U5IU
10195,B000H5U5IU
14228,B00000IBNW
32926,B006UANE8E
8578,B000I9TX1U
5137,B000I9TX1U
16807,B000I9TX1U
5764,B000I9TX1U
28178,B000I9TX1U
12039,B000I9TX1U
11965,B000I9TX1U
29034,B000I9TX1U
6182,B000I9TX1U
32802,B000I9TX1U
29871,B0001EYSQC
13918,B00004RQB1
32500,B001LMU1A0
26347,B001EI5BWE
26416,B001EI5BWE
30447,B001N8Z8K0
36815,B0042W131W
1023,B00004RXMK
27147,B00433TOWA
32990,B00004CM33
14165,B00004CM33
37563,B00004CM33
30117,B00004CM33
12348,B002B7CFR6
11004,B0000TPAVK
33812,B00013EY80
17127,B00028G74S
20305,6304880677
3478,B004SCMGSU
26312,B00004RQBA
29673,B00004RQBF
20473,B000GALHPQ
32722,B003HE4FBG
31766,B00097E6NQ
10832,6303359329
12825,B0094MOQ0K
14581,B0035YKW0Q
16456,B003BGZ60Y
31977,B001AQT0VI
37333,B000VHVGMI
23785,B000VHVGMI
5971,6301045734
12278,6304040164
9948,6301967917
20072,B000KGGJ0E
22861,B000KGGJ0E
33409,6303704840
34548,B0076XTH8K
37125,B000NVL49W
4710,B001NZWEI2
31903,B004X4ROPS
5488,6302643651
16901,B005LXWYKU
26738,B00742GOP2
19737,B000NVL49M
12514,B002KFPMBA
17726,B002KFPMBA
25983,B002KFPMBA
35631,B002KFPMBA
25471,B002KFPMBA
32460,B002KFPMBA
21817,B002KFPMBA
38623,B002KFPMBA
30045,B002KFPMBA
18299,B002KFPMBA
9885,B0000764K0
23073,B001OASRAA
355,B000KGGJ0Y
32864,6302405688
34193,B002TK03YW
24889,6300135233
8334,B0009OUC5U
2336,B0009OUC5U
18830,B0009OUC5U
34730,B0062ABXLM
25670,B0000BYRO7
21514,B0000BYRO7
12410,B0000BYRO7
3756,B0000BYRO7
3837,B0000BYRO7
38373,B003VHELLI
31186,B0002PYS4M
32949,B003Y7YUOS
30488,B0007M21Y4
20331,B004WSATRK
35281,B0001MIRDE
20950,B005CXOGAU
13047,B0041VEZVY
33441,B000LXH5P4
1868,B003X3BYJW
371,B000V2I234
10770,B000I9WVZA
35635,B0045V6FRC
17212,B000VHVGM8
12475,B001OKUREO
33947,B000KGGJ04
29246,B000KGGJ04
9879,B003ZXDOW0
29474,B0002RQ2VW
34185,B003ZZ7TT2
18893,B000A9QK8M
3512,B000I9WVZU
29176,B000I9WVZU
20664,B001NZWEIC
34923,B00004CK9I
5388,B00008WFTU
21451,B00006LU75
30404,B00006LU75
21451,B00006LU76
30404,B00006LU76
24028,B000065K9E
10035,B000FP2PE4
25939,B00151QYU8
7383,B005VMWOW4
31716,B007C7V4BS
17932,B007C7V4BS
26584,B007C7V4BS
38615,B007C7V4BS
28568,B007C7V4BS
1504,B007C7V4BS
19194,B007C7V4BS
13733,B007C7V4BS
21178,B007C7V4BS
5957,B007C7V4BS
9060,B0000544LY
18879,6301699599
16103,B003CJUWVI
8784,B004J0DQS0
39906,B000AMWIVM
6578,B001PPLJN6
12288,B0013Z70YA
37222,6304091338
36963,B003F41T2Q
32926,B002G4RDAI
18795,B005ZMBBRY
29720,B005ZMBBRY
3837,6301723465
8687,B005UYF7KY
26025,B000ANVPPG
23553,B0009OL90W
30566,B000IOM0RY
10745,B001IDSZ1O
10012,B0088VQ0V6
13336,B008NNY8CW
10581,6304277490
32926,B001DBQAZY
31816,B000YYVLSW
37125,B00925T8YI
6100,B00925T8YI
21951,B0000VD0AG
13211,B003PX4S9I
17663,B000BNXD28
91,B000BNXD28
2214,B000BNXD28
25902,B000BNXD28
16217,B000BNXD28
259,B000035P4U
11113,B0002910TY
13255,B0002910TY
33060,B00026L92K
26025,B000ANVPP6
2048,B0009PW3QK
10683,B008ROG898
35428,B006QUF0QW
28508,B00004YVV8
12674,B002EWD0IG
30232,B008YKQC6E
18795,B005ZMBBR4
29720,B005ZMBBR4
35437,B001PPLJNQ
10035,B000FP2PEE
37888,B0000D0YWG
26775,B0001ADAVK
13935,6302510163
16318,B000MDH5US
11647,6302686679
22384,6302181585
6684,B0042W0BQA
38884,B002DPRW1U
29871,B008IG0F7G
6138,B008IG0F7G
12348,B008IG0F7G
6805,B008IG0F7G
21038,B008IG0F7G
22477,B003BM374K
30363,6305746540
835,B00870YR7M
25512,B009D0AZI0
20684,B0007VY49K
2712,B00005M1YM
15924,B00005U8E9
1686,B00005U8E8
20227,B00005U8E8
9556,B008H6GHL0
2281,B00004WM3D
34257,B000VII4D6
25139,B00005U8E7
35250,B00005U8E7
20990,B00005U8E7
26037,B00005U8E7
35398,B00005U8E7
11087,6303356699
29024,B0002EXFNI
22863,6305441286
5881,B00005U8EY
20677,B00005U8EY
30180,B00005U8EY
7602,B00005U8EY
13240,B00005U8EY
17803,B00005U8EY
38971,B00005U8EY
21502,B00005U8EY
2100,B00005U8EY
13563,B00005U8EY
6906,B0002A2VR8
24313,B0002A2VR8
5881,B00005U8EZ
20677,B00005U8EZ
30180,B00005U8EZ
7602,B00005U8EZ
13240,B00005U8EZ
17803,B00005U8EZ
38971,B00005U8EZ
21502,B00005U8EZ
2100,B00005U8EZ
13563,B00005U8EZ
18711,B00005U8EQ
29871,B00005U8EP
14295,B005WVUM1E
37790,B005WVUM1E
37806,B005WVUM1E
4161,B000MRA542
6845,B006MWA8O8
3349,B000JUB2UI
36217,B006RXQ6FM
26653,B00005U8EO
12520,B00005U8EN
15036,B00004TXBN
10377,B003K4Y7NO
18424,B003K4Y7NO
22131,B00005U8EF
11128,B00005U8EF
27919,B00005U8EF
11464,B00005U8EF
27431,B00005U8EF
17738,B008H5VFU4
1579,B00005M1Y1
3888,B00005M1Y0
31004,B00005M1Y4
35194,B00005M1Y4
4666,B00005M1Y4
37169,B00005M1Y4
27692,B00005M1Y4
14205,B00005M1Y5
17393,B00005M1Y5
11915,B00005M1Y5
6853,B00005M1Y6
33880,B00005M1Y7
3507,B000TMPDCY
29369,B003BEE7C4
36903,B00081U75O
2523,B00081U75O
22708,B000A7Q2I2
21237,B000LXGW1W
18157,6304580878
22358,6301576152
6311,B000EMGIWI
17638,B007RQP5W8
27125,B00028G4UU
9879,B0062MI5KM
12502,B000068QPR
21514,B009QW6BXS
30376,B003C5FN6Q
15966,B003C5FN6Q
