"director_id","director_name"
"31668","""Big Hearted Herbert""  -   William Keighley"
"2453","""Doug"
"27222","""Girl Missing""    - Robert Florey"
"30194","""Illicit""  -  Archie Mayo"
"6781","""La India Maria"""
"17697","""Merry Wives Of Reno""    -   H. Bruce Humberstone"
"1958","""Side Streets""  -  Alfred E. Green"
"13359","""Smarty""    -  Robert Florey"
"4574","""Stranger In Town""  -  Erle C. Kenton"
"6663","""The Merry Frinks""    -   Alfred E. Green"
"35503","#"
"17832","& Jaime Rogers"
"14852","& Morgan Freeman"
"14455","&#34"
"29270","'"
"30774","(A Tale of Two Christmasses) Robert Aldrich"
"3044","(None)"
"14179","(The Answer) Roy Kellino"
"32926","- Various"
"15476","-Vaious"
"24105","-Various"
"33186",". Beebe"
"16380","0"
"26674","1 to 1 Publishers"
"25510","1) Jesus Christ"
"10887","10 Feature Films"
"6824","10 Features"
"819","10 Skits"
"6526","10/01/1999"
"16739","111"
"34451","12 Episodes"
"13603","13 Episodes"
"37895","1349"
"4569","14 Episodes"
"16341","16 Episodes"
"13719","16-Film Collection"
"32570","17 directors"
"34217","17 Episodes"
"17253","176 Classic Cartoons"
"23182","18 Shows"
"19351","1984"
"36207","2 Degrees"
"10634","2 Pac"
"22078","2 Roosters"
"38661","2)F. N. Vanessa ""Jubi"" Onyeama O'Connor"
"30360","20 Episodes"
"24766","20th Century Fox"
"14618","20TH_CENTURY_FOX"
"6633","24 Cartoons"
"38705","2entertain"
"33862","3 Ball Productions"
"18684","3 Features"
"1670","3 Features with Bonus CD"
"39047","3 Horror Sci-Fi Features"
"16025","3PW"
"23726","4 Film Set"
"7168","4 Sci-Fi Features"
"20381","411 Productions"
"2410","42nd Street Pete"
"38217","4AD Records"
"20702","4Kids"
"27144","5 Films of Underground Cinema"
"25965","6 Film Collection"
"30050","689076461207"
"8700","7 Signs of Christ's Return - Rolf Forsberg"
"8729","70"
"19381","769529971832"
"17441","7th Voyage Productions Inc"
"35946","9 Story Entertainment"
"1655","900 Films"
"18539","A"
"17723","A & E  TV  Network"
"3218","A & E Network"
"14819","A & E Television Networks"
"5562","A & E TV Network"
"24219","A and E"
"36778","a b"
"31447","A BÔ TRAVAIL Productions"
"15151","A Daniel Knaub"
"30277","A Film by Joseph Hillel & Patrick Demers"
"6312","A J Quinn"
"27945","A K Chakarbortty"
"25361","A Muthu"
"10178","A Penn State Public Broadcasting Production"
"23447","A Pygmalion Digital release"
"2152","A R Kardar"
"39686","A Wrench In The Works"
"21956","A Wrench In The Works Ent. Inc."
"23060","A&E"
"26212","A&E Entertainment"
"9319","A&E Home Video"
"16326","A&E Network"
"18321","A. Bhimsingh"
"31628","A. Blaine Miller"
"39938","A. Coulter"
"7705","A. Dean Bell"
"5064","A. Edward Stutherland"
"8536","A. Edward Sutherland"
"4249","A. ENKHTAIVAN"
"30376","A. F. Silver"
"3494","A. Hans"
"16820","A. Jaime Vera"
"1370","A. Karim Karmi"
"17788","A. LaPierre"
"24768","A. Laura James"
"22161","A. Leonardi"
"18179","A. Paige Goldberg"
"33521","A. R. Murugadoss"
"15940","A. S. Freeman"
"25450","A. Santschi"
"757","A. Smith"
"33229","A. Susan Svehla"
"5376","A. Wajda"
"287","A..J.  Dimacuangan"
"7806","A.B. Harris"
"21758","A.D."
"30311","A.D. Calvo"
"11827","A.D. Liano"
"4264","A.D. Miles"
"32582","A.E. Weed"
"37839","A.G. Vermouth"
"22255","A.J. Ager"
"33504","A.J. Dawson"
"23797","A.J. Jamal"
"25047","A.J. Johnson"
"15708","A.K. Allen"
"1459","a.k.a. Kane and Abel"
"9877","A.P. Nagarajan"
"30755","A.S. Ravindra Babu"
"31066","A.Venkatesh"
"28685","A.Y. Dexter Dalara"
"32643","A2ZCDS.com"
"3500","AA3"
"11902","Aage Rais-Nordentoft"
"13154","Aamir Khan"
"26083","Aarno Cronvall"
"22942","AARON"
"27049","Aaron Aites"
"39918","Aaron Augenblick"
"30793","Aaron Bishop Nick Kapetanios"
"39648","Aaron Bissell"
"19024","Aaron Black"
"4335","Aaron Blaise"
"39475","Aaron Brown"
"23110","Aaron Buer"
"36318","Aaron Coleman"
"13090","Aaron Courseault"
"24599","Aaron Edson"
"24273","Aaron Eslinger"
"34015","Aaron Farrington"
"26993","Aaron Faulls"
"15468","Aaron Fernandez"
"2028","Aaron Fisher-Cohen"
"20842","Aaron Fishman"
"14558","Aaron Gaudet"
"24925","Aaron Greer"
"15070","Aaron Harris"
"11318","Aaron Harvey"
"20210","Aaron Hendren"
"10818","Aaron Hoopes"
"27712","Aaron Horvath"
"16048","Aaron Hudson"
"38990","Aaron Huisenfeldt"
"32803","Aaron I. Naar"
"11837","Aaron J. Shelton"
"38701","Aaron Jackson"
"5510","Aaron Joseph Robson"
"25739","Aaron Katz"
"2025","Aaron Kim Johnston"
"24348","Aaron King"
"20352","Aaron Krummel"
"36987","Aaron Lieber"
"34738","Aaron Lim"
"29495","Aaron Linton"
"35745","Aaron Lipstadt"
"32477","Aaron Lubarsky"
"6199","Aaron Marshall"
"8967","Aaron Michels"
"21586","Aaron Murphy"
"1168","Aaron Newman"
"35253","Aaron Norris"
"39350","Aaron Osborne"
"21021","Aaron Robson"
"3966","Aaron Rose"
"29265","Aaron Rottinghaus"
"36965","Aaron Ruben"
"19809","Aaron Russo"
"1286","Aaron Schneider"
"11656","Aaron Schock"
"25566","Aaron Seals"
"10076","Aaron Seltzer"
"12972","Aaron Sorkin (Creator)"
"15607","Aaron Springer"
"24536","Aaron Star"
"30574","Aaron Stevenson"
"13130","Aaron T. Wells"
"10270","Aaron Weisblatt"
"23266","Aaron Williams"
"25356","Aaron Woodley"
"6861","Aaron Woolf"
"30512","Aaron Woolfolk"
"2117","Aaron Yamasato"
"5706","Aash Aaron"
"4077","Abajian"
"13641","Abashidze"
"2361","ABBADO  LUCERNE FESTIVAL ORCHESTRA"
"7619","Abbas & Mustan Burmawalla"
"32321","Abbas Alibhai Burmawalla"
"26762","Abbas Alibhai|"
"24387","Abbas Kiarostami"
"15674","Abbas Mastan"
"2844","Abbas Tyrewala"
"28036","Abbe Wool"
"36235","Abbie Kealy"
"25877","Abby"
"13512","Abby Berlin"
"3666","Abby Epstein"
"23885","ABC American Broadcasting Companies"
"11926","ABC Family"
"20109","ABC News"
"36528","Abdallah Omeish"
"15332","Abdellatif Kechiche"
"6411","Abderrahmane Sissako"
"28794","Abdiel Colberg"
"38335","Abdoulaye Ascofare/ Drissa Toure"
"10934","Abdul"
"4063","Abdul Malik Abbott"
"36537","Abe"
"34591","Abe Cunningham"
"5582","Abe Epperson"
"7198","Abe Levitow"
"17917","Abe Noriyuki"
